time_ms,setpoint_rpm,rpm,pwm
0,0.0,1.828,0
50,0.0,0.0,0
100,0.0,4.503,0
150,0.0,5.643,0
200,0.0,0.0,0
250,0.0,0.0,0
300,0.0,0.767,0
350,0.0,0.0,0
400,0.0,0.0,0
450,0.0,0.0,0
500,0.0,5.276,0
550,0.0,4.667,0
600,0.0,0.396,0
650,0.0,6.763,0
700,0.0,2.805,0
750,0.0,0.0,0
800,0.0,2.213,0
850,0.0,0.0,0
900,0.0,5.271,0
950,0.0,0.0,0
1000,0.0,0.0,0
1050,0.0,0.0,0
1100,0.0,7.335,0
1150,0.0,0.0,0
1200,0.0,0.0,0
1250,0.0,0.0,0
1300,0.0,3.194,0
1350,0.0,2.193,0
1400,0.0,2.476,0
1450,0.0,2.585,0
1500,0.0,12.85,0
1550,0.0,0.0,0
1600,0.0,0.0,0
1650,0.0,0.0,0
1700,0.0,3.696,0
1750,0.0,6.774,0
1800,0.0,0.0,0
1850,0.0,0.0,0
1900,0.0,0.0,0
1950,0.0,3.904,0
2000,0.0,4.46,0
2050,0.0,3.259,0
2100,0.0,0.0,0
2150,0.0,1.393,0
2200,0.0,0.7,0
2250,0.0,1.312,0
2300,0.0,5.229,0
2350,0.0,1.342,0
2400,0.0,4.073,0
2450,0.0,0.405,0
2500,0.0,1.735,0
2550,0.0,3.788,0
2600,0.0,0.0,0
2650,0.0,0.0,0
2700,0.0,0.0,0
2750,0.0,0.0,0
2800,0.0,0.0,0
2850,0.0,8.97,0
2900,0.0,0.0,0
2950,0.0,5.81,0
3000,0.0,0.0,0
3050,0.0,0.0,0
3100,0.0,0.977,0
3150,0.0,3.517,0
3200,0.0,4.267,0
3250,0.0,4.76,0
3300,0.0,0.0,0
3350,0.0,0.0,0
3400,0.0,5.148,0
3450,0.0,0.0,0
3500,0.0,0.0,0
3550,0.0,0.0,0
3600,0.0,0.0,0
3650,0.0,2.983,0
3700,0.0,0.855,0
3750,0.0,4.143,0
3800,0.0,0.0,0
3850,0.0,0.951,0
3900,0.0,3.754,0
3950,0.0,0.0,0
4000,0.0,2.741,0
4050,0.0,0.0,0
4100,0.0,0.0,0
4150,0.0,0.0,0
4200,0.0,0.0,0
4250,0.0,2.922,0
4300,0.0,0.0,0
4350,0.0,0.075,0
4400,0.0,2.884,0
4450,0.0,2.679,0
4500,0.0,3.992,0
4550,0.0,0.0,0
4600,0.0,0.0,0
4650,0.0,0.0,0
4700,0.0,0.0,0
4750,0.0,0.0,0
4800,0.0,0.0,0
4850,0.0,0.0,0
4900,0.0,2.399,0
4950,0.0,0.0,0
5000,0.0,0.0,0
5050,0.0,7.795,0
5100,0.0,0.0,0
5150,0.0,4.425,0
5200,0.0,0.0,0
5250,0.0,0.0,0
5300,0.0,0.0,0
5350,0.0,0.0,0
5400,0.0,5.042,0
5450,0.0,0.0,0
5500,0.0,2.607,0
5550,0.0,1.426,0
5600,0.0,0.0,0
5650,0.0,0.0,0
5700,0.0,0.433,0
5750,0.0,0.0,0
5800,0.0,1.396,0
5850,0.0,0.131,0
5900,0.0,9.611,0
5950,0.0,0.0,0
6000,0.0,0.0,0
6050,0.0,1.076,0
6100,0.0,1.32,0
6150,0.0,8.155,0
6200,0.0,5.011,0
6250,0.0,2.141,0
6300,0.0,8.78,0
6350,0.0,0.0,0
6400,0.0,0.0,0
6450,0.0,0.0,0
6500,0.0,0.0,0
6550,0.0,0.0,0
6600,0.0,3.811,0
6650,0.0,0.0,0
6700,0.0,0.0,0
6750,0.0,0.0,0
6800,0.0,1.881,0
6850,0.0,5.029,0
6900,0.0,11.98,0
6950,0.0,17.483,0
7000,0.0,2.486,0
7050,0.0,0.0,0
7100,0.0,0.0,0
7150,0.0,1.606,0
7200,0.0,0.0,0
7250,0.0,0.0,0
7300,0.0,0.0,0
7350,0.0,0.0,0
7400,0.0,6.396,0
7450,0.0,0.942,0
7500,0.0,0.0,0
7550,0.0,0.0,0
7600,0.0,0.0,0
7650,0.0,0.0,0
7700,0.0,0.0,0
7750,0.0,10.608,0
7800,0.0,0.782,0
7850,0.0,5.896,0
7900,0.0,0.0,0
7950,0.0,0.0,0
8000,0.0,0.0,0
8050,0.0,12.771,0
8100,0.0,0.0,0
8150,0.0,5.031,0
8200,0.0,0.0,0
8250,0.0,5.589,0
8300,0.0,2.31,0
8350,0.0,0.0,0
8400,0.0,0.0,0
8450,0.0,0.0,0
8500,0.0,2.676,0
8550,0.0,0.0,0
8600,0.0,0.0,0
8650,0.0,0.0,0
8700,0.0,1.036,0
8750,0.0,9.475,0
8800,0.0,0.96,0
8850,0.0,0.0,0
8900,0.0,1.715,0
8950,0.0,7.836,0
9000,0.0,1.316,0
9050,0.0,0.0,0
9100,0.0,6.638,0
9150,0.0,2.573,0
9200,0.0,9.215,0
9250,0.0,1.099,0
9300,0.0,0.0,0
9350,0.0,0.0,0
9400,0.0,9.906,0
9450,0.0,10.342,0
9500,0.0,0.0,0
9550,0.0,0.0,0
9600,0.0,8.769,0
9650,0.0,0.0,0
9700,0.0,0.0,0
9750,0.0,3.86,0
9800,0.0,0.0,0
9850,0.0,0.0,0
9900,0.0,0.0,0
9950,0.0,2.025,0
10000,0.0,8.445,0
10050,0.0,0.544,0
10100,0.0,3.864,0
10150,0.0,0.0,0
10200,0.0,0.0,0
10250,0.0,0.0,0
10300,0.0,0.0,0
10350,0.0,0.0,0
10400,0.0,0.0,0
10450,0.0,5.495,0
10500,0.0,0.0,0
10550,0.0,0.184,0
10600,0.0,0.0,0
10650,0.0,0.0,0
10700,0.0,6.017,0
10750,0.0,3.229,0
10800,0.0,8.024,0
10850,0.0,0.0,0
10900,0.0,0.0,0
10950,0.0,0.0,0
11000,0.0,1.455,0
11050,0.0,1.059,0
11100,0.0,0.0,0
11150,0.0,0.543,0
11200,0.0,1.369,0
11250,0.0,15.105,0
11300,0.0,11.261,0
11350,0.0,0.0,0
11400,0.0,0.0,0
11450,0.0,0.0,0
11500,0.0,0.0,0
11550,0.0,1.894,0
11600,0.0,7.235,0
11650,0.0,0.0,0
11700,0.0,0.0,0
11750,0.0,0.0,0
11800,0.0,0.0,0
11850,0.0,0.0,0
11900,0.0,0.0,0
11950,0.0,0.0,0
12000,0.0,0.0,0
12050,0.0,0.0,0
12100,0.0,0.0,0
12150,0.0,12.775,0
12200,0.0,0.0,0
12250,0.0,0.0,0
12300,0.0,11.021,0
12350,0.0,17.43,0
12400,0.0,0.0,0
12450,0.0,0.0,0
12500,0.0,2.049,0
12550,0.0,10.372,0
12600,0.0,0.0,0
12650,0.0,0.0,0
12700,0.0,4.664,0
12750,0.0,2.609,0
12800,0.0,0.0,0
12850,0.0,0.0,0
12900,0.0,0.0,0
12950,0.0,0.0,0
13000,0.0,0.0,0
13050,0.0,1.393,0
13100,0.0,0.0,0
13150,0.0,2.829,0
13200,0.0,6.076,0
13250,0.0,0.933,0
13300,0.0,2.111,0
13350,0.0,0.319,0
13400,0.0,0.001,0
13450,0.0,0.0,0
13500,0.0,1.899,0
13550,0.0,0.0,0
13600,0.0,12.559,0
13650,0.0,9.44,0
13700,0.0,2.315,0
13750,0.0,0.0,0
13800,0.0,0.0,0
13850,0.0,7.147,0
13900,0.0,1.576,0
13950,0.0,2.881,0
14000,0.0,0.0,0
14050,0.0,5.565,0
14100,0.0,2.727,0
14150,0.0,0.0,0
14200,0.0,0.0,0
14250,0.0,1.582,0
14300,0.0,0.315,0
14350,0.0,0.0,0
14400,0.0,0.0,0
14450,0.0,0.0,0
14500,0.0,0.915,0
14550,0.0,8.829,0
14600,0.0,0.0,0
14650,0.0,0.0,0
14700,0.0,1.059,0
14750,0.0,1.776,0
14800,0.0,0.0,0
14850,0.0,0.0,0
14900,0.0,1.968,0
14950,0.0,10.364,0
15000,0.0,0.0,0
15050,0.0,5.183,0
15100,0.0,0.0,0
15150,0.0,0.0,0
15200,0.0,0.0,0
15250,0.0,0.0,0
15300,0.0,7.8,0
15350,0.0,3.496,0
15400,0.0,10.394,0
15450,0.0,7.064,0
15500,0.0,2.635,0
15550,0.0,10.464,0
15600,0.0,2.634,0
15650,0.0,4.968,0
15700,0.0,0.0,0
15750,0.0,0.399,0
15800,0.0,0.0,0
15850,0.0,5.938,0
15900,0.0,0.0,0
15950,0.0,4.694,0
16000,0.0,7.027,0
16050,0.0,4.505,0
16100,0.0,10.924,0
16150,0.0,4.385,0
16200,0.0,0.0,0
16250,0.0,0.0,0
16300,0.0,0.0,0
16350,0.0,0.0,0
16400,0.0,9.067,0
16450,0.0,3.825,0
16500,0.0,0.0,0
16550,0.0,0.0,0
16600,0.0,0.197,0
16650,0.0,0.0,0
16700,0.0,0.0,0
16750,0.0,1.872,0
16800,0.0,6.932,0
16850,0.0,3.653,0
16900,0.0,0.0,0
16950,0.0,1.826,0
17000,0.0,0.432,0
17050,0.0,2.483,0
17100,0.0,9.697,0
17150,0.0,0.0,0
17200,0.0,0.0,0
17250,0.0,3.545,0
17300,0.0,0.0,0
17350,0.0,8.856,0
17400,0.0,2.21,0
17450,0.0,5.08,0
17500,0.0,0.0,0
17550,0.0,4.883,0
17600,0.0,6.411,0
17650,0.0,1.397,0
17700,0.0,1.406,0
17750,0.0,1.622,0
17800,0.0,0.0,0
17850,0.0,0.0,0
17900,0.0,0.0,0
17950,0.0,2.3,0
18000,0.0,5.999,0
18050,0.0,0.0,0
18100,0.0,0.0,0
18150,0.0,8.889,0
18200,0.0,0.0,0
18250,0.0,0.0,0
18300,0.0,1.214,0
18350,0.0,5.066,0
18400,0.0,0.069,0
18450,0.0,7.974,0
18500,0.0,5.141,0
18550,0.0,5.051,0
18600,0.0,3.325,0
18650,0.0,13.966,0
18700,0.0,0.0,0
18750,0.0,0.0,0
18800,0.0,9.626,0
18850,0.0,0.0,0
18900,0.0,0.647,0
18950,0.0,7.857,0
19000,0.0,0.0,0
19050,0.0,0.0,0
19100,0.0,0.0,0
19150,0.0,0.0,0
19200,0.0,2.638,0
19250,0.0,3.145,0
19300,0.0,1.658,0
19350,0.0,0.0,0
19400,0.0,0.0,0
19450,0.0,0.326,0
19500,0.0,0.0,0
19550,0.0,2.756,0
19600,0.0,4.212,0
19650,0.0,0.829,0
19700,0.0,4.561,0
19750,0.0,1.375,0
19800,0.0,3.18,0
19850,0.0,0.0,0
19900,0.0,0.0,0
19950,0.0,1.181,0
20000,0.0,4.923,0
20050,0.0,0.0,0
20100,0.0,3.127,0
20150,0.0,0.0,0
20200,0.0,0.0,0
20250,0.0,4.977,0
20300,0.0,0.0,0
20350,0.0,0.0,0
20400,0.0,0.0,0
20450,0.0,0.0,0
20500,0.0,0.0,0
20550,0.0,4.497,0
20600,0.0,0.0,0
20650,0.0,1.187,0
20700,0.0,6.535,0
20750,0.0,7.966,0
20800,0.0,0.0,0
20850,0.0,8.122,0
20900,0.0,0.553,0
20950,0.0,0.0,0
21000,0.0,0.0,0
21050,0.0,0.0,0
21100,0.0,0.0,0
21150,0.0,0.0,0
21200,0.0,4.822,0
21250,0.0,10.325,0
21300,0.0,0.0,0
21350,0.0,2.357,0
21400,0.0,0.0,0
21450,0.0,2.848,0
21500,0.0,0.0,0
21550,0.0,0.0,0
21600,0.0,5.57,0
21650,0.0,0.0,0
21700,0.0,0.0,0
21750,0.0,0.0,0
21800,0.0,0.0,0
21850,0.0,2.567,0
21900,0.0,0.0,0
21950,0.0,1.972,0
22000,0.0,2.172,0
22050,0.0,7.924,0
22100,0.0,0.0,0
22150,0.0,0.0,0
22200,0.0,6.403,0
22250,0.0,0.0,0
22300,0.0,6.688,0
22350,0.0,2.3,0
22400,0.0,0.0,0
22450,0.0,2.093,0
22500,0.0,11.706,0
22550,0.0,12.462,0
22600,0.0,0.416,0
22650,0.0,0.961,0
22700,0.0,6.457,0
22750,0.0,0.0,0
22800,0.0,1.998,0
22850,0.0,0.0,0
22900,0.0,1.883,0
22950,0.0,0.0,0
23000,0.0,0.0,0
23050,0.0,0.0,0
23100,0.0,0.0,0
23150,0.0,0.0,0
23200,0.0,0.0,0
23250,0.0,11.623,0
23300,0.0,6.636,0
23350,0.0,0.0,0
23400,0.0,2.086,0
23450,0.0,0.0,0
